AÑO;TOTAL MATRÍCULA;TOTAL MATRÍCULA MUJERES;TOTAL MATRÍCULA HOMBRES;TOTAL MATRÍCULA PRIMER AÑO;TOTAL MATRÍCULA MUJERES PRIMER AÑO;TOTAL MATRÍCULA HOMBRES PRIMER AÑO;CLASIFICACIÓN INSTITUCIÓN NIVEL 1;CLASIFICACIÓN INSTITUCIÓN NIVEL 2;CLASIFICACIÓN INSTITUCIÓN NIVEL 3;CÓDIGO DE INSTITUCIÓN;NOMBRE INSTITUCIÓN;ACREDITACIÓN INSTITUCIONAL;REGIÓN;PROVINCIA;COMUNA;NOMBRE SEDE;NOMBRE CARRERA;ÁREA DEL CONOCIMIENTO;CINE-F 1997 ÁREA;CINE-F 1997 SUBAREA;ÁREA CARRERA GENÉRICA;CINE-F 2013 ÁREA;CINE-F 2013 SUBAREA;NIVEL GLOBAL;CARRERA CLASIFICACIÓN NIVEL 1;CARRERA CLASIFICACIÓN NIVEL 2;MODALIDAD;JORNADA;CÓDIGO CARRERA;ACREDITACIÓN CARRERA;TOTAL RANGO DE EDAD;RANGO DE EDAD 15 A 19 AÑOS;RANGO DE EDAD 20 A 24 AÑOS;RANGO DE EDAD 25 A 29 AÑOS;RANGO DE EDAD 30 A 34 AÑOS;RANGO DE EDAD 35 A 39 AÑOS;RANGO DE EDAD 40 Y MÁS AÑOS;RANGO DE EDAD SIN INFORMACIÓN;PROMEDIO EDAD CARRERA     ;PROMEDIO EDAD MUJER     ;PROMEDIO EDAD HOMBRE     
MAT_2025;410;153;257;136;44;92;Universidades;Universidades Privadas;Universidades Privadas;39;UNIVERSIDAD SAN SEBASTIAN;ACREDITADA;Metropolitana;SANTIAGO;SANTIAGO;SEDE SANTIAGO;INGENIERIA COMERCIAL;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Ingeniería Comercial;Administración de Empresas y Derecho;Educación Comercial y Administración;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;I39S6C1J1V1;NO ACREDITADA;410;113;247;46;4;;;;21,3;21,1;21,5
MAT_2025;152;67;85;105;45;60;Universidades;Universidades Privadas;Universidades Privadas;23;UNIVERSIDAD ADOLFO IBAÑEZ;ACREDITADA;Valparaíso;VALPARAISO;VIÑA DEL MAR;CASA CENTRAL (VIÑA DEL MAR);INGENIERIA COMERCIAL;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Ingeniería Comercial;Administración de Empresas y Derecho;Educación Comercial y Administración;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;I23S1C1J1V1;NO ACREDITADA;152;99;51;2;;;;;19,5;19,5;19,5
MAT_2025;650;241;409;;;;Universidades;Universidades Privadas;Universidades Privadas;23;UNIVERSIDAD ADOLFO IBAÑEZ;ACREDITADA;Valparaíso;VALPARAISO;VIÑA DEL MAR;CASA CENTRAL (VIÑA DEL MAR);INGENIERIA COMERCIAL;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Ingeniería Comercial;Administración de Empresas y Derecho;Educación Comercial y Administración;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;I23S1C1J1V3;NO ACREDITADA;650;66;540;38;6;;;;21,6;21,5;21,7
MAT_2025;1;;1;;;;Universidades;Universidades Privadas;Universidades Privadas;16;UNIVERSIDAD LA REPUBLICA;NO ACREDITADA;Metropolitana;SANTIAGO;SANTIAGO;SEDE SANTIAGO;INGENERIA COMERCIAL CONTINUIDAD;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Ingeniería Comercial;Administración de Empresas y Derecho;Educación Comercial y Administración;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;No Presencial;A Distancia;I16S1C267J4V2;NO ACREDITADA;1;;;;;;1;;41;;41
MAT_2025;2;1;1;;;;Universidades;Universidades Privadas;Universidades Privadas;16;UNIVERSIDAD LA REPUBLICA;NO ACREDITADA;Metropolitana;SANTIAGO;SANTIAGO;SEDE SANTIAGO;INGENERIA COMERCIAL;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Ingeniería Comercial;Administración de Empresas y Derecho;Educación Comercial y Administración;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;No Presencial;A Distancia;I16S1C45J4V1;NO ACREDITADA;2;;;1;;;1;;38;25;51
MAT_2025;1;1;;;;;Universidades;Universidades Privadas;Universidades Privadas;19;UNIVERSIDAD DE LAS AMERICAS;ACREDITADA;Biobío;CONCEPCION;CONCEPCION;SEDE CONCEPCION;INGENIERIA COMERCIAL;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Ingeniería Comercial;Administración de Empresas y Derecho;Educación Comercial y Administración;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Otra;I19S5C132J5V1;NO ACREDITADA;1;;;;;1;;;37;37;
MAT_2025;89;65;24;22;16;6;Universidades;Universidades Privadas;Universidades Privadas;20;UNIVERSIDAD ANDRES BELLO;ACREDITADA;Valparaíso;VALPARAISO;VIÑA DEL MAR;SEDE VIÑA DEL MAR;INGENIERIA EN TURISMO Y HOTELERIA;Administración y Comercio;Servicios;Servicios Personales;Administración Turística y Hotelera;Servicios;Servicios personales;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;I20S3C81J1V1;NO ACREDITADA;89;21;57;10;1;;;;21,4;21,2;21,9
MAT_2025;432;167;265;132;34;98;Universidades;Universidades Privadas;Universidades Privadas;20;UNIVERSIDAD ANDRES BELLO;ACREDITADA;Metropolitana;SANTIAGO;SANTIAGO;CASA CENTRAL (SANTIAGO);INGENIERIA EN ADMINISTRACION DE EMPRESAS;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Administración de Empresas e Ing. Asociadas;Administración de Empresas y Derecho;Educación Comercial y Administración;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;I20S1C69J1V1;NO ACREDITADA;432;106;287;35;4;;;;21,2;21,1;21,3
MAT_2025;48;21;27;14;7;7;Universidades;Universidades Privadas;Universidades Privadas;20;UNIVERSIDAD ANDRES BELLO;ACREDITADA;Valparaíso;VALPARAISO;VIÑA DEL MAR;SEDE VIÑA DEL MAR;ADMINISTRACION DE ECOTURISMO;Administración y Comercio;Servicios;Servicios Personales;Administración Turística y Hotelera;Servicios;Servicios personales;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;I20S3C28J1V1;NO ACREDITADA;48;10;33;4;1;;;;21,5;20,4;22,3
MAT_2025;860;203;657;274;63;211;Universidades;Universidades Privadas;Universidades Privadas;20;UNIVERSIDAD ANDRES BELLO;ACREDITADA;Metropolitana;SANTIAGO;LAS CONDES;SEDE CASONA DE LAS CONDES;INGENIERIA COMERCIAL;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Ingeniería Comercial;Administración de Empresas y Derecho;Educación Comercial y Administración;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;I20S2C1J1V1;NO ACREDITADA;860;197;556;104;3;;;;21,6;21;21,7
